"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,no data,no data,no data,no data,no data,no data
Canada,11280.199,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.714,24279.186,28338.745,32176.593,36439.62,40558.897,44716.985,46773.837,40990.625,47627.345,52285.937,52744.004,52708.61,51020.843,43626.47,42382.635,45191.961,46532.165,46399.714,43294.795,52791.228,56739.818,59125.562,61237.174,63293.417,65414.364
Central African Republic,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.563,479.846,494.186,525.914,557.442,589.141,621.772,655.224,689.439
Chad,163.554,189.349,178.888,174.759,182.983,192.956,230.715,253.529,287.003,262.413,306.217,293.844,296.666,251.096,196.901,233.418,250.861,232.968,254.121,215.939,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,1024.838,776.105,700.558,671.18,713.034,685.677,659.674,729.844,743.841,765.721,802.39,842.102,878.215
Chile,2579.918,3004.727,2204.378,1762.216,1687.021,1424.363,1504.431,1743.88,2021.045,2289.447,2503.865,2829.736,3368.273,3547.017,4030.063,5117.696,5349.581,5743.716,5446.545,4952.865,5071.704,4572.865,4443.764,4770.33,6193.086,7600.351,9473.007,10507.912,10748.976,10220.071,12794.284,14610.798,15307.795,15804.503,14643.498,13571.015,13779.4,15034.796,15865.535,14619.502,12992.976,16799.367,17701.618,18606.537,19446.294,20304.19,21195.994
"China, People's Republic of",306.98,288.491,279.971,296.509,301.111,292.99,279.908,299.842,368.079,406.534,346.873,356.759,420.025,520.966,468.658,603.526,703.06,774.91,820.903,865.236,951.163,1044.958,1141.14,1282.21,1499.712,1751.368,2095.239,2691.048,3446.695,3813.408,4499.803,5553.242,6282.709,7039.574,7645.875,8034.287,8063.446,8760.259,9848.949,10170.061,10511.335,11891.202,12990.014,14040.075,15141.545,16295.347,17492.963
Colombia,1681.746,1792.259,1878.1,1827.165,1767.178,1623.001,1592.203,1623.397,1714.216,1693.406,1690.422,1711.654,1985.739,2208.309,2725.713,3034.085,3135.799,3397.954,3089.652,2672.583,2534.451,2460.333,2423.37,2312.603,2826.048,3493.986,3836.672,4834.427,5622.109,5330.795,6498.573,7518.304,8237.293,8409.676,8312.056,6337.038,6037.133,6577.295,6923.64,6546.626,5390.921,5892.14,6186.66,6446.913,6723.377,7016.116,7326.743
Comoros,684.569,584.519,541.617,513.524,490.137,482.697,629.744,741.276,772.133,731.08,868.945,895.707,955.474,916.695,660.355,806.805,789.145,714.272,701.452,703.067,628.071,675.05,757.399,949.68,1055.357,1085.659,1110.984,1251.857,1403.796,1351.145,1322.638,1450.159,1403.417,1500.731,1505.178,1231.135,1256.035,1300.566,1386.014,1359.75,1355.297,1390.061,1426.523,1466.97,1509.841,1560.311,1613.464
"Congo, Dem. Rep. of the",2730.695,2301.277,2422.242,1891.283,1221.72,1080.898,1174.016,1075.998,1206.847,1188.851,1192.381,1120.914,973.196,1222.443,639.608,601.803,750.736,657.549,470.218,416.975,404.972,149.63,174.848,175.429,193.614,220.292,254.093,287.023,323.588,296.167,333.637,387.283,425.231,458.183,486.816,497.277,465.034,466.599,560.811,580.695,543.834,593.558,622.068,655.062,689.719,726.239,758.871
"Congo, Republic of ",1362.75,1083.721,916.547,808.393,721.033,717.264,951.697,1121.613,1157.519,1150.77,1310.373,1326.741,1398.92,1249.625,839.501,973.005,1097.225,967.806,823.561,949.351,1268.422,1037.327,1109.284,1255.568,1617.326,2058.304,2436.377,2586.304,3346.18,2722.039,3597.956,4175.34,4607.39,4559.725,4438.243,2873.72,2395.178,2555.443,3062.923,2800.291,2206.174,2655.719,2704.462,2746.974,2902.649,2938,2952.426
Costa Rica,2108.75,1111.35,1071.935,1257.355,1421.164,1478.366,1611.323,1612.564,1598.038,1763.481,1880.75,2305.412,2684.089,2926.912,3110.154,3336.709,3277.614,3450.907,3653.154,3715.408,3941.14,4041.943,4122.829,4227.819,4483.59,4756.337,5309.271,6194.045,6993.896,6879.266,8268.859,9270.571,10107.452,10764.529,10853.638,11635.197,11986.918,12185.259,12428.924,12623.193,12056.957,11860.222,12294.127,12883.881,13509.156,14140.207,14853.313
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2572.621,2786.37,3809.89,4995.309,5217.741,5209.717,5594.799,5099.544,4938.113,5355.367,6228.622,8054.456,9368.621,10215.386,11356.452,13542.208,15839.939,14134.156,13562.418,14608.2,13257.015,13673.369,13600.786,11780.604,12362.591,13450.094,15013.369,14945.184,13895.943,15807.696,17222.699,18728.145,20112.761,21231.557,22366.514
