"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,no data,no data,no data,no data,no data,no data
Morocco,1132.089,895.782,881.181,778.036,695.127,685.329,884.05,952.577,1102.828,1109.286,1248.809,1310.61,1343.358,1239.049,1369.643,1479.276,1612.853,1442.425,1519.174,1492.184,1373.92,1376.532,1453.941,1768.603,1999.125,2063.312,2242.729,2549.881,2946.926,2922.586,2896.564,3111.538,2979.738,3200.479,3259.721,2964.961,2995.677,3147.101,3353.1,3368.386,3187.63,3470.795,3617.254,3801.031,3991.896,4195.762,4379.79
Mozambique,396.816,300.914,300.392,263.659,270.38,353.788,413.827,187.301,164.966,171.727,271.733,272.614,191.23,189.937,187.082,187.295,241.649,283.513,313.064,346.574,319.358,296.268,302.546,326.075,383.27,416.811,435.334,482.198,563.649,520.403,471.904,594.586,657.645,664.078,673.969,589.86,428.927,461.415,503.302,506.817,448.844,492.273,506.47,568.707,585.666,602.799,682.197
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,116.223,143.154,169.697,154.588,148.549,189.041,227.347,254.757,283.701,370.544,525.195,632.23,774.72,1088.75,1182.147,1210.221,1244.184,1223.742,1163.794,1177.083,1271.677,1302.277,1527.434,1246.318,1170.091,1228.541,1289.975,1353.513,1421.457
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,2027.87,2109.532,2034.92,2070.995,1922.824,2100.279,2197.585,2126.349,2143.726,1837.305,1874.47,2139.706,1939.787,1811.249,2607.864,3440.966,3708.785,4007.733,4378.564,4198.55,4340.183,5410.977,5870.933,6038.862,5540.619,5555.93,5020.473,4611.508,5438.761,5665.86,5109.122,4276.276,4693.455,4853.261,4932.594,4993.828,5052.58,5302.757
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3174.961,3167.648,3200.72,2470.84,3965.355,4587.75,4748.078,6529.397,9382.641,9103.519,8865.599,6994.054,7674.477,8152.257,9398.51,9365.095,8866.874,10138.196,10361.197,10576.167,10668.969,10687.363,10564.319
Nepal,150.674,172.192,170.029,181.747,187.859,190.716,202.94,205.932,237.472,234.553,235.483,251.038,222.006,232.005,235.992,249.856,251.546,267.454,260.462,262.752,273.639,276.596,276.295,288.424,327.131,363.231,396.623,447.379,537.813,546.64,677.187,803.716,804.141,823.321,844.495,901.75,899.524,1048.454,1178.526,1200.965,1178.33,1172.638,1226.011,1312.936,1400.347,1488.447,1580.37
Netherlands,13750.491,11429.727,11013.574,10682.307,9904.974,10008.042,13875.191,16895.4,17956.109,17597.26,21581.579,22057.794,24191.955,23356.332,24935.531,29350.802,29084.068,26808.388,28018.706,28393.845,26327.867,26996.172,29401.976,35814.268,40477.3,42054.884,44936.006,51880.384,58015.396,52807.447,51165.823,54342.114,50175.559,52276.986,53026.478,45302.804,46165.177,48799.874,53224.694,52672.504,52456.094,57714.876,61159.435,64246.824,67172.749,70101.473,72893.263
New Zealand,7246.92,7503.123,7370.59,7064.343,6960.705,6943.519,8373.548,11189.539,13643.701,13099.977,13439.745,12426.123,11754.866,12536.066,14607.506,16938.022,18504.234,18214.214,14885.532,15340.083,14028.141,13667.832,15701.88,20480.425,24840.184,27378.695,26221.935,31909.42,31759.187,28283.685,33379.61,38062.95,39683.428,42089.463,44282.106,38200.039,39426.719,42334.698,42839.818,42210.227,41164.576,48348.994,51706.9,53795.62,55273.038,56739.214,58293.297
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,898.199,935.34,947.14,940.143,973.071,999.413,1030.74,1054.66,1011.904,1010.231,1077.784,1152.801,1224.724,1326.658,1498.88,1444.941,1506.073,1629.968,1734.794,1790.431,1916.77,2036.931,2099.585,2156.145,2016.16,1934.143,1942.64,2047.097,2109.298,2143.844,2183.219,2237.72,2312.772
Niger,609.433,510.028,458.113,395.659,310.002,295.81,378.695,430.394,426.027,394.734,435.341,394.9,393.718,343.177,211.016,241.954,243.965,224.475,250.234,231.66,197.275,207.769,227.424,267.409,285.388,320.923,335.334,389.256,477.27,462.267,476.062,511.488,528.918,551.554,562.885,484.171,497.882,517.771,572.564,553.905,568.488,622.23,661.763,728.477,807.676,871.123,914.794
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,652.915,615.663,521.905,553.126,760.992,1224.938,1560.382,1655.818,1802.587,481.951,554.64,583.187,730.836,780.399,963.236,1221.651,1563.031,1791.823,2197.776,1927.476,2328.425,2543.504,2756.41,2998.068,3222.691,2718.586,2176.001,1968.563,2153.094,2229.854,2083.162,2272.844,2562.185,2861.368,3150.501,3483.971,3854.824
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1263.863,1383.543,1824.418,2387.158,2348.109,1980.429,1888.755,1931.989,1878.237,1839.616,1974.061,2440.813,2796.622,3071.897,3359.608,4076.296,4838.148,4579.092,4576.228,5097.26,4728.373,5239.649,5498.612,4860.422,5152.966,5462.379,6111.186,6044.439,5939.413,6711.734,7203.979,7692.056,8251.311,8856.035,9477.473
Norway,15746.262,15484.681,15196.29,14906.174,14968.787,15728.224,18853.07,22445.038,24143.118,24245.447,28187.181,28514.498,30432.89,27880.632,29236.375,34790.001,37225.29,36561.409,34717.064,36278.339,38047.948,38494.685,42997.959,50046.34,57512.221,66687.757,73970.24,84915.639,96563.223,79746.888,87356.193,100197.171,101129.905,102576.68,96657.575,74115.155,70223.817,75306.667,82082.117,75700.221,67326.071,82244.232,84119.215,86429.974,88167.216,89679.842,91231.21
Oman,4674.114,5251.746,5510.962,5363.892,5517.394,6129.204,4548.852,4488.916,4362.946,4605.009,6340.52,5937.75,6292.658,6102.666,6116.027,6355.283,6864.964,6965.197,6037.746,6605.919,8120.715,7961.211,8108.723,8565.258,9635.825,11873.176,13938.207,15436.806,21866.269,16784.913,19027.779,20641.47,21149.647,20435.846,20308.462,16570.735,14834.587,15482.125,17338.964,16529.391,14255.089,17632.651,18226.549,17888.761,17750.787,17741.892,17903.923
Pakistan,384.902,442.247,469.517,426.125,450.053,438.018,436.749,444.693,499.054,507.269,494.774,549.918,564.456,582.256,572.263,652.368,664.776,639.935,622.117,575.697,579.17,553.176,546.605,612.898,705.39,772.293,883.483,963.509,1030.764,993.725,1029.165,1216.748,1247.102,1263.594,1310.165,1422.923,1436.368,1544.17,1557.888,1352.723,1254.864,no data,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7862.501,8099.777,8388.523,7874.34,8386.409,9297.556,9649.44,10017.029,10281.347,9822.352,9986.289,10788.492,12058.413,12865.525,13993.291,16408.156,16776.843,16028.194,16328.652,15725.084,14731.695,11835.178,13602.815,15695.71,16414.201,17017.278,17566.776
Panama,2071.041,2288.369,2469.136,2477.122,2527.53,2614.785,2658.349,2613.099,2211.665,2171.726,2312.985,2489.709,2770.951,2963.32,3095.157,3099.915,3580.929,3791.269,4027.322,4136.061,4111.712,4094.966,4172.689,4312.62,4638.716,4965.212,5401.562,6127.034,7110.228,7532.399,8039.764,9314.687,10674.487,11841.893,12756.952,13606.597,14344.087,15178.301,15612.325,15830.98,12373.045,13861.061,14643.874,15481.385,16372.064,17319.296,18326.521
Papua New Guinea,1380.844,1319.408,1223.39,1194.658,1079.594,975.967,1039.809,1159.833,1565.167,1455.035,1265.882,1444.104,1546.581,1713.713,1834.984,1581.631,1639.773,1527.441,1138.365,1013.232,1007.517,862.099,814.701,995.275,1111.943,1269.526,1411.902,1576.159,1883.527,1833.09,2132.185,2552.043,2865.783,2800.173,2992.711,2742.919,2567.582,2755.488,2861.448,2886.589,2651.089,2951.977,3093.662,3212.225,3320.417,3440.801,3559.961
Paraguay,1299.661,1608.463,1636.527,1762.992,1390.886,1154.145,1335.761,1084.695,1392.417,977.835,1185.277,1585.242,1592.055,1580.207,1681.396,1897.134,2008.188,2003.578,1824.648,1706.395,1675.793,1577.681,1312.083,1377.521,1693.886,1857.78,2285.125,2988.684,4054.044,3623.931,4329.69,5301.834,5153.417,5892.846,6065.282,5360.077,5265.061,5608.156,5703.324,5299.667,4918.229,5028.217,5258.689,5467.532,5747.833,6016.241,6292.029
Peru,1164.828,1373.068,1332.455,1011.725,1018.785,861.599,1263.729,2040.65,1579.545,1908.456,1301.465,1530.736,1562.58,1487.861,1839.228,2147.428,2193.686,2272.351,2141.114,1903.93,1940.238,1935.546,2017.765,2159.744,2408.091,2669.214,3106.719,3587.798,4225.855,4171.73,5051.219,5727.14,6399.339,6631.027,6564.462,6139.231,6169.392,6728.074,7007.275,6961.696,6134.217,6676.517,6781.115,7149.522,7422.845,7689.99,7973.341
Philippines,774.484,829.816,843.471,735.714,678.342,645.597,615.047,666.915,744.307,816.961,828.821,830.407,946.762,949.733,1094.543,1237.311,1316.406,1279.835,988.487,1112.353,1087.287,1003.957,1050.297,1062.619,1137.068,1261.267,1470.825,1764.683,2011.633,1923.674,2237.157,2473.249,2721.252,2903.189,2995.504,3039.234,3107.646,3153.314,3279.519,3511.868,3322.512,3492.072,3621.212,3848.483,4081.493,4317.116,4567.06
Poland,1595.047,1497.841,1803.464,2056.958,2042.04,1899.817,1965.541,1691.129,1819.392,1772.091,1629.047,2105.486,2315.647,2351.742,2692.704,3612.264,4066.179,4075.977,4459.097,4348.147,4485.064,4987.859,5205.517,5699.557,6684.675,8023.921,9031.797,11252.863,13999.496,11532.283,12619.616,13879.525,13096.89,13688.355,14272.29,12563.614,12438.523,13868.906,15468.264,15726.878,15699.296,17318.497,19055.723,20561.522,22052.308,23691.58,25412.115
Portugal,3338.764,3296.654,3095.096,2838.655,2596.075,2716.645,3774.582,4724.451,5532.62,5977.577,7957.244,9026.301,10863.487,9547.643,9977.615,11787.315,12187.582,11594.755,12216.689,12487.712,11531.467,11734.878,12927.584,15793.852,18055.893,18790.561,19840.474,22813.667,24946.256,23126.175,22539.038,23213.126,20576.825,21653.505,22109.318,19252.015,19986.362,21482.834,23573.287,23333.317,22148.801,24457.144,26404.136,27997.748,29467.571,30933.381,32293.543
Puerto Rico,4507.15,4940.784,5146.929,5257.186,5777.438,6058.641,6495.499,6987.398,7579.339,8094.29,8675.576,9093.48,9687.443,10255.532,10942.949,11667.589,12305.024,12968.394,14430.159,15293.182,16192.127,18243.709,18972.77,19820.208,20988.989,21959.317,22935.951,23664.874,24898.335,25768.726,26435.742,27278.853,27944.742,28513.15,28981.343,29755.35,30585.55,31347.273,32789.063,32785.938,32645.395,34143.272,35106.435,35939.721,36693.806,37518.195,38414.45
Qatar,27242.483,27819.566,22657.373,18003.756,17496.536,15495.701,11644.458,11773.23,10853.896,11039.938,13150.172,11500.519,13038.976,11797.162,12009.396,13689.653,15143.479,18841.6,15421.783,19689.651,30461.311,28600.029,30701.131,35919.758,42548.115,54357.783,60591.776,65934.266,72484.634,53822.909,69796.138,96827.857,101933.117,99180.39,93054.141,66346.911,57965.377,59127.513,66421.693,62817.059,54184.966,61790.572,64768.005,65466.916,67109.343,68739.538,70733.985
Romania,2052.081,2450.352,2441.211,2125.157,1710.302,2101.997,2264.368,2517.949,2593.057,2314.744,1641.855,1241.063,847.68,1147.325,1317.048,1563.117,1565.472,1571.689,1885.349,1600.881,1661.714,1802.675,2113.596,2672.811,3483.726,4604.45,5740.402,8262.407,10385.848,8517.598,8194.719,9075.961,8491.033,9530.441,10021.543,8942.2,9520.439,10776.672,12361.143,12861.283,12867.64,14863.887,16293.051,17869.729,19284.429,20777.382,22268.771
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7084.753,5784.551,482.767,1322.006,1979.411,2264.343,2787.022,2935.03,1949.801,1427.307,1901.956,2255.253,2552.788,3197.573,4403.962,5708.838,7426.005,9761.368,12464.244,9156.97,11431.148,14306.432,15287.967,15928.699,14007.509,9257.935,8723.523,10723.996,11261.71,11516.604,10115.35,11273.242,11664.617,12024.438,12450.982,12908.401,13398.984
Rwanda,292.782,320.559,329.641,339.297,317.361,364.611,399.283,428.416,442.811,447.143,417.717,298.957,317.043,325.858,223.451,245.276,268.93,345.662,338.306,284.166,266.055,248.99,242.079,257.475,277.634,334.407,368.508,442.135,545.188,584.677,612.052,674.655,728.668,730.465,748.525,755.951,755.737,784.138,796.811,835.187,815.824,802.264,832.569,880.534,928.79,988.372,1045.86
Saint Kitts and Nevis,1338.747,1609.725,1847.251,1829.835,2144.801,2406.13,2851.256,3289.063,3926.955,4392.77,4969.878,4912.915,5386.942,5806.085,6407.518,6819.77,7195.174,8010.438,8260.891,8670.829,9279.584,9962.552,10304.318,9922.475,10566.955,11256.635,13095.2,13845.794,15451.231,15215.837,15136.905,16076.845,15710.513,16464.037,17753.633,17654.127,18397.052,19144.1,19269.742,20602.48,17173.238,16917.159,18728.918,19655.859,20336.162,21004.133,21773.213
Saint Lucia,1461.568,1645.688,1532.03,1627.3,2046.656,2279.211,2683.653,2921.986,3295.014,3668.487,4321.313,4511.868,4878.46,4922.705,5029.435,5271.835,5363.891,5385.615,5773.042,5998.05,5978.703,5651.874,5655.31,6147.526,6567.457,6910.814,7622.377,7936.976,8441.834,8508.3,8968.072,9424.945,9495.187,9756.132,10172.807,10386.815,10610.407,11262.038,11556.673,11782.752,8934.701,9419.272,10905.013,12026.901,12676.115,13075.077,13447.417
Saint Vincent and the Grenadines,836.558,1028.215,1136.549,1212.183,1329.021,1423.414,1561.269,1693.044,1923.872,2047.701,2274.433,2392.789,2610.539,2689.601,2719.63,2969.98,3116.202,3270.014,3513.872,3675.547,3728.566,4047.328,4327.57,4494.109,4847.164,5091.601,5623.32,6272.401,6366.705,6172.786,6224.215,6171.48,6318.54,6569.788,6622.444,6867.521,7033.491,7187.494,7353.638,7470.714,7304.344,6952.242,7720.924,8378.194,8915.714,9388.168,9829.002
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1533.119,1469.927,1462.992,1501.909,1620.79,1953.981,2327.801,2660.17,2759.755,3117.255,3596.531,3302.757,3617.358,4044.809,4014.463,4007.887,3937.707,4073.682,4109.085,4259.621,4266.499,4291.25,4090.055,3906.413,4019.183,4247.633,4476.95,4715.21,4928.038
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,59293.605,61193.013,64494.91,72991.531,79110.201,67011.543,60426.235,57512.891,50336.185,51986.532,51234.869,43068.693,44308.666,45887.687,49477.281,48367.995,46282.468,50934.189,53800.03,55816.021,57678.925,59949.814,62122.029
Saudi Arabia,17655.087,18832.078,14912.688,11972.195,10558.736,8732.759,6955.067,6524.173,6398.832,6583.297,7734.968,8280.174,8077.748,7685.993,7626.361,7893.412,8527.67,8706.346,7525.302,8092.705,9256.515,8778.41,8822.493,9800.521,11467.103,14068.215,15603.985,16666.601,20157.29,16094.686,19163.342,23654.859,25208.174,24892.984,24929.318,21063.315,20288.897,21113.962,23538.94,23173.841,19995.704,23762.42,24224.377,24371.805,24683.31,25093.98,25698.569
Senegal,767.972,677.895,645.372,559.501,529.936,563.251,773.09,902.228,865.668,828.149,936.148,894.485,930.568,852.61,560.956,693.418,706.864,642.569,686.369,689.683,614.004,648.446,680.83,831.623,931.745,993.237,1027.786,1197.551,1403.795,1307.516,1272.622,1366.534,1318.614,1372.686,1397.017,1219.373,1269.553,1361.221,1458.73,1430.209,1474.018,1602.898,1699.4,1890.976,2012.744,2126.066,2231.177
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2927.951,2302.29,1508.722,1239.745,1642.08,2158.378,2838.501,3317.624,3697.899,4401.87,5882.939,7092.355,6172.494,5677.545,6814.65,6016.788,6757.467,6603.499,5588.98,5765.204,6292.547,7252.404,7391.841,7645.791,8793.836,9560.924,10421.797,11278.829,12235.265,13228.976
Seychelles,2329.353,2403.455,2293.938,2280.452,2338.076,2588.553,3165.945,3638.988,4128.118,4407.201,5302.844,5314.655,6128.346,6559.088,6555.429,6748.825,6583.091,7280.929,7715.784,7747.491,7578.829,7663.083,8431.923,8524.935,10176.659,11093.314,12014.418,12155.702,11480.433,9707.265,10805.099,11647.017,11999.897,14762.223,14701.368,14786.118,15199.206,16180.944,16143.366,16389.253,11701.892,13140.368,17706.042,19463.209,21089.793,22897.989,24945.339
Sierra Leone,479.601,501.744,552.581,469.374,539.979,450.535,330.043,281.362,451.564,405.247,219.455,261.748,228.231,259.186,308.752,295.71,318.646,286.074,223.939,218.906,205.251,228.033,251.704,265.323,264.775,285.106,323.259,360.425,409.443,391.213,401.835,448.324,566.37,716.148,713.53,592.903,525.948,495.812,533.972,527.171,526.723,541.063,551.691,545.336,548.339,560.363,578.459
Singapore,5004.992,5672.105,6000.032,6717.837,7160.262,6788.387,6870.769,7794.688,9328.951,10725.743,12763.342,14501.96,16136.244,18290.132,21552.408,24914.851,26232.869,26375.868,21829.278,21796.642,23852.834,21699.748,22159.833,23730.379,27608.075,29961.308,33768.446,39432.895,40008.577,38926.813,47236.672,53891.462,55547.546,56967.426,57564.802,55645.607,56846.272,61175.437,66675.772,65641.309,59794.596,66263.418,69129.035,72492.127,75869.289,79169.488,82521.651
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2571.858,2950.872,3711.964,4004.797,4076.496,4236.587,3869.052,3839.791,3982.442,4626.832,6341.548,8040.066,9141.837,10700.341,14374.845,18074.643,16591.518,16783.991,18402.634,17502.513,18274.09,18713.36,16326.59,16529.162,17553.885,19395.849,19288.568,19144.915,21383.286,23323.326,25146.375,26830.336,28486.599,30017.182
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9639.353,8357.938,8468.242,10748.462,10810.791,10470.497,11168.219,11509.456,10259.439,10502.321,11804.818,14873.628,17254.827,18152.062,19723.859,23912.494,27744.28,24854.16,23570.184,25156.069,22674.365,23516.591,24263.895,20898.86,21681.281,23511.316,26217.34,26039.096,25548.766,28939.271,31025.508,33172.853,35312.342,37544.959,39807.168
Solomon Islands,793.126,812.613,782.732,711.899,691.205,611.271,529.413,540.763,598.343,570.057,689.006,709.335,815.269,885.84,1153.332,1306.619,1381.745,1385.672,1171.2,1215.243,1017.406,965.95,795.547,788.627,867.004,1014.727,1119.606,1260.254,1389.07,1428.612,1604.149,1938.79,2141.921,2248.693,2278.422,2174.312,2229.571,2291.676,2398.812,2356.619,2281.348,2356.505,2514.939,2698.583,2839.44,2955.269,3072.232
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,301.676,316.021,312.727,310.457,312.857,326.515,327.321,346.156,331.637,350.361,369.62,403.277,437.788,464.394,490.693
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3716.196,3786.214,4145.209,3869.699,3937.655,3508.142,3423.597,3382.066,2964.028,2791.181,4209.22,5415.092,6033.215,6276.172,6776.462,6355.879,6552.264,8130.194,8799.477,8207.06,7458.038,6984.926,6256.666,5750.785,6678.291,6984.474,6598.879,5624.5,6861.166,7081.872,7270.273,7450.59,7627.628,8162.353
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1644.739,1041.463,1337.232,1334.089,1245.684,286.208,277.692,359.062,343.006,322.201,230.132,313.592,389.665,388.388,377.554,440.621
Spain,6128.024,5381.909,5171.535,4501.838,4471.654,4694.759,6477.301,8187.29,9598.667,10566.133,13693.638,14697.501,16013.155,13409.697,13419.62,15475.607,16095.75,14782.949,15457.11,15814.188,14761.108,15400.911,17097.916,21501.074,24932.129,26438.031,28414.133,32588.562,35484.39,32131.382,30566.877,31676.69,28344.776,29084.958,29524.755,25764.215,26535.546,28196.759,30423.167,29576.25,27179.446,30536.858,33171.165,34906.777,36508.451,37985.711,39389.013
Sri Lanka,323.039,331.643,353.59,377.293,437.552,428.611,454.825,468.952,485.277,482.238,546.464,591.178,630.112,666.574,761.606,802.204,873.9,971.235,992.717,992.283,1030.756,984.014,1027.092,1124.828,1218.727,1429.454,1642.829,1865.875,2332.255,2391.695,2799.963,3199.475,3347.887,3607.152,3817.133,3841.519,3885.761,4076.747,4057.326,3851.666,3681.549,3665.765,3760.379,3991.484,4240.866,4505.441,4786.45
Sudan,486.908,339.389,239.807,318.513,375.019,253.184,328.588,516.781,404.705,696.391,87.197,95.292,113.476,186.506,205.922,239.507,292.909,350.723,366.582,352.442,422.316,492.676,554.652,635.575,772.939,996.677,1249.767,1599.596,1700.513,1401.244,1637.419,2034.461,1396.292,1462.582,1628.497,1679.074,1638.514,1172.969,796.298,776.549,775.635,789.448,809.088,841.11,889.609,944.043,998.771
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1413.616,1535.96,1406.579,1093.085,1213.311,2270.813,2790.049,2945.34,3495.323,2837.245,2904.549,2464.817,3075.376,3571.556,4057.746,4800.797,5577.122,6165.518,7316.459,7917.317,8806.017,8770.289,9844.747,10013.725,10042.68,9036.347,5761.783,6156.461,6772.07,6662.874,4786.833,4620.395,4759.46,4986.294,5175.615,5364.202,5561.568
Sweden,16877.243,15396.745,13576.621,12470.948,12976.142,13549.507,17852.72,21629.289,24339.27,25412.176,30253.863,31490.221,32584.883,24351.052,25978.285,30246.923,32986.123,30307.156,30585.081,30928.571,29589.141,27207.49,29846.186,37249.257,42736.876,43349.851,46425.841,53496.534,55929.862,46734.909,52658.794,60540.218,57816.023,60845.007,59704.814,51274.278,51590.473,53459.072,54295.731,51694.498,52129.129,58639.194,61680.598,65769.747,68523.934,72034.543,75506.934
Switzerland,19463.945,17725.794,18022.269,17864.541,17049.723,17230.781,24576.927,30563.656,32818.824,31478.186,39888.213,39868.407,40911.467,39386.136,43241.988,50329.762,48254.479,41697.283,42809.617,41857.869,39073.979,39946.655,42807.414,49683.005,55006.03,56660.701,59505.877,65774.861,75076.973,72460.746,77431.92,91699.23,87037.301,88721.54,90258.364,85238.522,83515.544,83700.471,86762.015,85721.728,87366.598,93515.484,98770.706,102030.377,106657.087,110400.079,115413.444
Syria,1421.836,1763.344,1784.577,1849.427,1839.915,1965.139,2284.039,2823.157,1389.823,800.859,967.145,972.175,983.575,995.061,1060.707,1133.162,1186.162,1080.812,1028.169,1043.174,1202.891,1236.897,1305.087,1208.885,1361.499,1510.392,1726.028,2016.052,2557.211,2557.267,2806.685,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,775.709,931.011,876.128,800.45,812.985,837.601,1142.825,1111.67,922.926,892.384,1050.252,920.765,788.501,1033.02,1058.931,820.593,1050.097,700.969,541.273,568.499,550.516,505.213,552.891,647.954,692.685,809.407,839.546,885.101,1125.875,1098.369,1128.309,1302.775,1380.112,1619.708,1826.92,1623.805,1737.727,1842.326,1988.722,2021.926,2189.676,2392.893,2523.794,2656.963,2794.22,2938.195,3002.281
Taiwan Province of China,2366.797,2691.494,2675.311,2881.66,3202.615,3293.869,4008.134,5325.173,6338.1,7575.906,8167.2,9081.901,10715.536,11256.711,12099.746,13066.128,13588.306,13948.722,12767.078,13752.716,14844.238,13357.195,13651.355,14040.597,15290.307,16427.459,16892.883,17723.704,18053.591,16904.543,19181.358,20838.589,21256.361,21945.46,22844.316,22752.991,23070.733,25061.624,25825.566,25935.899,28358.295,33401.709,36227.09,38396.977,40749.601,42801.84,44978.598
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.622,121.645,147.923,100.448,183.374,192.58,222.282,177.712,159.417,167.035,187.958,236.394,308.844,337.129,401.586,519.025,702.445,666.024,738.287,834.52,949.648,1040.15,1105.197,919.073,795.981,800.802,825.77,873.499,843.974,839.18,890.169,929.2,968.773,1013.317,1050.58
Tanzania,602.924,699.181,778.244,772.741,682.028,596.872,732.197,350.129,324.721,271.496,211.031,237.573,213.148,190.679,195.663,221.366,266.49,307.987,370.188,370.918,380.08,377.469,382.354,401.069,428.927,459.757,491.056,551.781,683.137,693.025,732.315,768.16,867.857,970.348,1030.74,947.897,966.29,1002.869,1036.93,1079.684,1110.372,1159.193,1211.768,1264.244,1321.451,1383.63,1448.614
Thailand,705.484,744.913,767.41,824.445,845.08,772.393,840.315,967.712,1160.538,1338.257,1564.175,1769.043,1999.204,2209.362,2491.433,2846.59,3043.982,2468.182,1845.829,2031.165,2003.605,1890.25,2094.257,2356.968,2657.909,2890.482,3366.815,3973.994,4373.451,4208.355,5073.705,5493.743,5862.993,6168.708,5952.377,5837.807,5995.205,6596.224,7293.885,7816.23,7187.855,7808.663,8356.182,8791.909,9316.648,9869.304,10441.091
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,409.156,525.331,509.279,523.851,462.954,476.785,458.878,537.236,627.16,683.31,806.413,947.511,1013.043,1210.04,1232.454,1332.792,1353.747,1286.407,1230.225,1560.509,1347.864,1262.722,1301.323,1344.333,1384.539,1453.89,1530.175
Togo,732.897,588.837,478.885,439.532,388.995,393.789,533.68,607.02,655.62,625.669,734.496,709.219,728.16,543.292,411.811,530.121,563.017,555.862,509.651,495.79,409.01,395.011,442.767,535.374,557.462,548.802,550.519,606.782,736.985,728.528,721.037,791.925,771.891,838.357,864.996,770.358,802.935,830.452,901.932,893.161,915.625,1000.438,1075.567,1151.566,1230.432,1312.315,1394.896
Tonga,770.303,850.554,843.209,818.461,854.275,802.926,959.286,1037.126,1213.22,1461.359,1498.504,1750.858,1832.835,1884.492,1948.137,2123.283,2228.293,2263.661,2153.245,1994.282,2045.81,1818.184,1828.634,2015.247,2288.897,2587.295,2876.124,2925.938,3367.714,3046.764,3569.101,4014.77,4557.282,4386.109,4303.818,4298.224,4178.289,4577.004,4836.444,5150.551,4978.802,5009.784,5398.003,5700.372,6034.761,6332.73,6668.222
Trinidad and Tobago,5847.707,6454.418,7393.152,6939.437,6831.216,6411.214,4121.173,4085.591,3798.754,3625.717,4221.813,4392.869,4474.142,3743.583,4027.423,4322.255,4658.874,4632.813,4872.619,5478.856,6545.953,7046.379,7162.514,8931.032,10442.168,12471.953,14280.042,16818.278,21479.282,14809.02,16957.433,19300.833,19157.448,20143.458,20270.948,18214.365,16256.456,16173.659,17037.954,16637.108,15424.821,15352.721,16323.032,16805.62,17220.615,17647.042,18088.325
