 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Comoros,COM,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,77,68,69,75,81,83,74,83,89,88,88,91,91,91,91,91,87,85,85
"Congo, Dem. Rep.",COD,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,68,71,60,70,71,71,73,70,70,71,71,73,70,65,65
"Congo, Rep.",COG,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,73,75,74,70,62,85,90,80,71,69,75,79,73,77,77
Costa Rica,CRI,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,86,83,89,80,94,86,89,90,88,89,89,87,89,84,91,94,91,92,97,97,98,97,95,94,94
Cote d'Ivoire,CIV,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48,63,67,76,77,76,74,81,79,62,82,75,73,79,87,83,84,81,75,76,76
Croatia,HRV,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,97,97,97,96,96,96,95,94,92,92,93,93,91,90,90
Cuba,CUB,84,84,84,84,84,84,84,84,84,84,84,84,84,84,98,99,99,98,98,99,98,98,98,99,99,95,89,93,95,96,96,96,96,96,97,99,99,99,99,99,99,99,99
Curacao,CUW,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Cyprus,CYP,20,20,20,20,20,20,20,20,20,20,20,20,27,41,54,68,88,88,88,89,89,89,88,88,88,88,93,93,93,96,96,96,96,96,96,97,97,97,97,94,94,94,94
Czechia,CZE,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,92,98,99,98,99,99,99,99,99,99,99,99,97,96,94,96,97,96,94,94
Denmark,DNK,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Djibouti,DJI,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,88,89,88,87,81,82,78,84,68,76,84,85,70,59,59
Dominica,DMA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,93,96,99,98,98,97,96,97,98,99,91,94,99,97,92,92
Dominican Republic,DOM,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,76,68,66,63,79,82,87,84,81,81,80,83,80,74,80,89,81,80,81,84,87,81,83,83
Ecuador,ECU,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,69,75,82,88,92,96,94,93,91,90,88,88,87,83,78,83,85,85,85,70,68,68
"Egypt, Arab Rep.",EGY,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,74,77,81,88,97,98,99,97,98,97,98,98,98,97,97,97,96,93,97,94,93,95,94,95,95,94,96,96
El Salvador,SLV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99,75,81,94,90,89,96,99,98,91,89,89,92,92,93,91,93,85,81,81,72,79,79
Equatorial Guinea,GNQ,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,40,53,53,53,53,53,53,53
Eritrea,ERI,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,91,84,96,94,95,95,95,95,94,94,94,94,95,95,95,95,95,95,95,95
Estonia,EST,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,95,95,95,94,95,94,94,94,93,93,91,93,92,93,91,90,84,84
Eswatini,SWZ,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,78,81,83,86,88,90,93,95,93,92,90,88,89,91,95,98,98,90,90,90,90,90,83,77,77
Ethiopia,ETH,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,52,56,62,65,62,59,61,63,66,68,68,68,71,65,65
