 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cabo Verde,CPV,2.2,2.125,2.05,1.975,1.9,1.825,1.75,1.675,1.6,1.6,1.6,1.6,1.6,1.638461538,1.676923077,1.715384615,1.753846154,1.792307692,1.830769231,1.869230769,1.907692308,1.946153846,1.984615385,2.023076923,2.061538462,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Cambodia,KHM,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.963636364,1.827272727,1.690909091,1.554545455,1.418181818,1.281818182,1.145454545,1.009090909,0.872727273,0.736363636,0.6,0.433333333,0.266666667,0.1,0.216666667,0.333333333,0.45,0.566666667,0.683333333,0.8,0.7,0.7,0.7,0.75,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Cameroon,CMR,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.53125,2.4625,2.39375,2.325,2.25625,2.1875,2.11875,2.05,1.98125,1.9125,1.84375,1.775,1.70625,1.6375,1.56875,1.5,1.45,1.4,1.35,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Canada,CAN,6.8,6.9,6.8,6.8,6.8,6.8,6.7,6.6,6.5,6.3,6,5.8,5.5,5.4,5.2,5,4.6,4.4,4.2,3.9,3.8,3.7,3.6,3.5,3.4,3.1,3,3,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.6,2.5,2.5,2.5,2.5
Cayman Islands,CYM,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Central African Republic,CAF,1.6,1.53,1.46,1.39,1.32,1.25,1.18,1.11,1.04,0.97,0.9,0.91875,0.9375,0.95625,0.975,0.99375,1.0125,1.03125,1.05,1.06875,1.0875,1.10625,1.125,1.14375,1.1625,1.18125,1.2,1.16,1.12,1.08,1.04,1,1,1,1,1,1,1,1,1,1,1,1
Chad,TCD,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.678571429,0.657142857,0.635714286,0.614285714,0.592857143,0.571428571,0.55,0.528571429,0.507142857,0.485714286,0.464285714,0.442857143,0.421428571,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Channel Islands,,10.7,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6
Chile,CHL,3.4,3.377777778,3.355555556,3.333333333,3.311111111,3.288888889,3.266666667,3.244444444,3.222222222,3.2,3.2,3.166666667,3.133333333,3.1,2.966666667,2.833333333,2.7,2.7,2.7,2.7,2.7,2.6,2.5,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
China,CHN,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,1.7,1.7,1.7,1.7,1.8,1.8,1.9,2,2.1,2.3,2.5,2.7,3,3.3,3.6,3.8,4,4.3,4.3,4.3,4.3,4.3,4.3
Colombia,COL,1.6,1.566666667,1.533333333,1.5,1.466666667,1.433333333,1.4,1.366666667,1.333333333,1.3,1.4,1.366666667,1.333333333,1.3,1.366666667,1.433333333,1.5,1.442857143,1.385714286,1.328571429,1.271428571,1.214285714,1.157142857,1.1,1.2,1.1,1,1,1.166666667,1.333333333,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Comoros,COM,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.8,2.7625,2.725,2.6875,2.65,2.6125,2.575,2.5375,2.5,2.4625,2.425,2.3875,2.35,2.3125,2.275,2.2375,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
"Congo, Dem. Rep.",COD,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.533333333,1.466666667,1.4,1.38,1.36,1.34,1.32,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"Congo, Rep.",COG,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.186666667,3.073333333,2.96,2.846666667,2.733333333,2.62,2.506666667,2.393333333,2.28,2.166666667,2.053333333,1.94,1.826666667,1.713333333,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Costa Rica,CRI,3.3,3.22,3.14,3.06,2.98,2.9,2.82,2.74,2.66,2.58,2.5,2.325,2.15,1.975,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1
Cote d'Ivoire,CIV,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.475,0.45,0.425,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Croatia,HRV,7.2,7.3,7.4,7.5,7.4,7.5,7.4,7.4,7.4,7.4,7.4,6.5,6.2,6.1,5.9,5.8,6.2,6,6.1,5.9,6.2,6,5.7,5.6,5.5,5.5,5.6,5.7,5.6,5.5,5.8,5.8,5.9,5.9,5.9,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Cuba,CUB,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.6,5.8,6,5.7,5.4,5.1,5.071428571,5.042857143,5.014285714,4.985714286,4.957142857,4.928571429,4.9,4.9,4.9,4.9,4.9,6,5.9,5.9,5.1,5,5.1,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3
Curacao,CUW,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25
Cyprus,CYP,5.7,5.7,5.625,5.55,5.475,5.4,5.325,5.25,5.175,5.1,5.045454545,4.990909091,4.936363636,4.881818182,4.827272727,4.772727273,4.718181818,4.663636364,4.609090909,4.554545455,4.5,4.4,4.4,4.3,4.2,3.8,3.8,3.8,3.8,3.8,3.6,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
